code,subBrand,product,specification,country,reason,sourceDisplay,docUrl,isSeries,brand
101570778C,Dumex,Dumex Dulac 1 800g,800g,Singapore,Precautionary recall: Cereulide toxin risk,Singapore Food Agency (SFA),https://www.sfa.gov.sg/news-publications/newsroom/direction-to-recall-additional-infant-formula-products-due-to-presence-of-cereulide-toxin,False,Danone
101570779,Dumex,Dumex Dulac Stage 2 800g,800g,Singapore,Precautionary recall: Cereulide toxin risk,Singapore Food Agency (SFA),https://www.sfa.gov.sg/news-publications/newsroom/recall-of-two-additional-infant-formula-products-due-to-presence-of-cereulide-toxin,False,Dumex (Danone)
101575737,Dumex,Dumex Dulac Stage 1 800g,800g,Singapore,Precautionary recall: Cereulide toxin risk,Singapore Food Agency (SFA),https://www.sfa.gov.sg/news-publications/newsroom/recall-of-two-additional-infant-formula-products-due-to-presence-of-cereulide-toxin,False,Dumex (Danone)
111444865,Aptamil,Aptamil AR 1 400g,400g,Croatia,Precautionary recall: Cereulide toxin risk,DIRH Croatia,https://www.hapih.hr/opoziv-proizvoda-aptamil-ar-1/,False,Danone
2027.08.19,Nutrilon,Nutrilon Profutura 1 800g,800g,Belgium/Netherlands,Precautionary recall: Potential presence of Cereulide (Bacillus cereus toxin) in raw material,FAVV-AFSCA (Belgium),https://favv-afsca.be/nl/producten/zuigelingenvoeding,False,Danone
25020021,BEBELO,BEBELO MILK 2 600g,600g,Czech Republic,Precautionary recall: Potential toxic substances,Czech Ministry of Health,https://mzd.gov.cz/hlavni-hygienicka-varuje-pred-konzumaci-nekolika-sarzi-kontaminovanych-kojeneckych-vyziv/,False,Danone
25020080,BEBELO,BEBELO MILK 2 600g,600g,Czech Republic,Precautionary recall: Potential toxic substances,Czech Ministry of Health,https://mzd.gov.cz/hlavni-hygienicka-varuje-pred-konzumaci-nekolika-sarzi-kontaminovanych-kojeneckych-vyziv/,False,Danone
25020112,BEBELO,BEBELO MILK 1 600g,600g,Czech Republic,Precautionary recall: Potential toxic substances,Czech Ministry of Health,https://mzd.gov.cz/hlavni-hygienicka-varuje-pred-konzumaci-nekolika-sarzi-kontaminovanych-kojeneckych-vyziv/,False,Danone
30484024,Bimbosan,Bimbosan goat's milk 1 refill 400g,400g,Switzerland/Global,Precautionary recall: Possible presence of Cereulide toxin,Hochdorf Swiss Nutrition / BLV,https://www.hochdorf.com/en/news/,False,Bimbosan
30484025,Bimbosan,Bimbosan goat's milk 1 refill 400g,400g,Switzerland/Global,Precautionary recall: Possible presence of Cereulide toxin,Hochdorf Swiss Nutrition / BLV,https://www.hochdorf.com/en/news/,False,Bimbosan
